game_id,home_team,away_team,season_type,week,stadium,roof,surface,temp,wind,home_win
2022_11_DET_NYG,NYG,DET,REG,11,MetLife Stadium,outdoors,fieldturf,35.0,21.0,0
2022_11_KC_LAC,LAC,KC,REG,11,SoFi Stadium,dome,matrixturf,,,1
2022_11_LA_NO,NO,LA,REG,11,Caesars Superdome,dome,sportturf,,,1
2022_11_LV_DEN,DEN,LV,REG,11,Empower Field at Mile High,outdoors,grass,49.0,11.0,1
2022_11_NYJ_NE,NE,NYJ,REG,11,Gillette Stadium,outdoors,fieldturf,42.0,2.0,0
2022_11_PHI_IND,IND,PHI,REG,11,Lucas Oil Stadium,closed,fieldturf,,,1
2022_11_SF_ARI,ARI,SF,REG,11,Estadio Azteca (Mexico City),outdoors,,,,0
2022_11_TEN_GB,GB,TEN,REG,11,Lambeau Field,outdoors,grass,25.0,11.0,0
2022_11_WAS_HOU,HOU,WAS,REG,11,NRG Stadium,closed,astroturf,,,0
2022_12_ATL_WAS,WAS,ATL,REG,12,Commanders Field,outdoors,grass,46.0,9.0,1
2022_12_BAL_JAX,JAX,BAL,REG,12,EverBank Stadium,outdoors,grass,77.0,19.0,0
2022_12_BUF_DET,DET,BUF,REG,12,Ford Field,dome,fieldturf,,,0
2022_12_CHI_NYJ,NYJ,CHI,REG,12,MetLife Stadium,outdoors,fieldturf,50.0,9.0,1
2022_12_CIN_TEN,TEN,CIN,REG,12,Nissan Stadium,outdoors,grass,56.0,14.0,0
2022_12_DEN_CAR,CAR,DEN,REG,12,Bank of America Stadium,outdoors,grass,66.0,15.0,1
2022_12_GB_PHI,PHI,GB,REG,12,Lincoln Financial Field,outdoors,grass,62.0,24.0,1
2022_12_HOU_MIA,MIA,HOU,REG,12,Hard Rock Stadium,outdoors,grass,84.0,13.0,1
2022_12_LAC_ARI,ARI,LAC,REG,12,State Farm Stadium,closed,grass,,,0
2022_12_LA_KC,KC,LA,REG,12,GEHA Field at Arrowhead Stadium,outdoors,grass,44.0,6.0,1
2022_12_LV_SEA,SEA,LV,REG,12,Lumen Field,outdoors,fieldturf,44.0,8.0,0
2022_12_NE_MIN,MIN,NE,REG,12,U.S. Bank Stadium,dome,sportturf,,,0
2022_12_NO_SF,SF,NO,REG,12,Levi's® Stadium,outdoors,grass,59.0,2.0,1
2022_12_NYG_DAL,DAL,NYG,REG,12,AT&T Stadium,closed,matrixturf,,,1
2022_12_PIT_IND,IND,PIT,REG,12,Lucas Oil Stadium,closed,fieldturf,,,0
2022_12_TB_CLE,CLE,TB,REG,12,Cleveland Browns Stadium,outdoors,grass,56.0,14.0,0
2022_13_BUF_NE,NE,BUF,REG,13,Gillette Stadium,outdoors,fieldturf,35.0,2.0,0
2022_13_CLE_HOU,HOU,CLE,REG,13,NRG Stadium,closed,astroturf,,,0
2022_13_DEN_BAL,BAL,DEN,REG,13,M&T Bank Stadium,outdoors,grass,63.0,8.0,0
2022_13_GB_CHI,CHI,GB,REG,13,Soldier Field,outdoors,grass,38.0,12.0,1
2022_13_IND_DAL,DAL,IND,REG,13,AT&T Stadium,closed,matrixturf,,,1
2022_13_JAX_DET,DET,JAX,REG,13,Ford Field,dome,fieldturf,,,1
2022_13_KC_CIN,CIN,KC,REG,13,Paycor Stadium,outdoors,fieldturf,57.0,2.0,0
2022_13_LAC_LV,LV,LAC,REG,13,Allegiant Stadium,dome,grass,,,1
2022_13_MIA_SF,SF,MIA,REG,13,Levi's® Stadium,outdoors,grass,38.0,6.0,1
2022_13_NO_TB,TB,NO,REG,13,Raymond James Stadium,outdoors,grass,69.0,2.0,0
2022_13_NYJ_MIN,MIN,NYJ,REG,13,U.S. Bank Stadium,dome,sportturf,,,1
2022_13_PIT_ATL,ATL,PIT,REG,13,Mercedes-Benz Stadium,closed,fieldturf,,,0
2022_13_SEA_LA,LA,SEA,REG,13,SoFi Stadium,dome,matrixturf,,,0
2022_13_TEN_PHI,PHI,TEN,REG,13,Lincoln Financial Field,outdoors,grass,60.0,7.0,1
2022_13_WAS_NYG,NYG,WAS,REG,13,MetLife Stadium,outdoors,fieldturf,40.0,9.0,1
2022_14_BAL_PIT,PIT,BAL,REG,14,Acrisure Stadium,outdoors,grass,42.0,12.0,0
2022_14_CAR_SEA,SEA,CAR,REG,14,Lumen Field,outdoors,fieldturf,45.0,4.0,0
2022_14_CLE_CIN,CIN,CLE,REG,14,Paycor Stadium,outdoors,fieldturf,47.0,8.0,1
2022_14_HOU_DAL,DAL,HOU,REG,14,AT&T Stadium,closed,matrixturf,,,0
2022_14_JAX_TEN,TEN,JAX,REG,14,Nissan Stadium,outdoors,grass,54.0,8.0,0
2022_14_KC_DEN,DEN,KC,REG,14,Empower Field at Mile High,outdoors,grass,55.0,4.0,0
2022_14_LV_LA,LA,LV,REG,14,SoFi Stadium,dome,matrixturf,,,0
2022_14_MIA_LAC,LAC,MIA,REG,14,SoFi Stadium,dome,matrixturf,,,1
2022_14_MIN_DET,DET,MIN,REG,14,Ford Field,dome,fieldturf,,,1
2022_14_NE_ARI,ARI,NE,REG,14,State Farm Stadium,closed,grass,,,0
2022_14_NYJ_BUF,BUF,NYJ,REG,14,Highmark Stadium,outdoors,a_turf,36.0,11.0,1
2022_14_PHI_NYG,NYG,PHI,REG,14,MetLife Stadium,outdoors,fieldturf,37.0,6.0,0
2022_14_TB_SF,SF,TB,REG,14,Levi's® Stadium,outdoors,grass,54.0,8.0,1
